rho,metric_mean,labeled_size,unlabeled_size,method,method_label,rejection_count,num_trials,num_permutations,type_i_error
0.7,1.0,60,800,ppi_perm,PPI Perm.,490,10000,1000,0.049
0.7,1.0,60,800,ppi_perm_uncentered,PPI Perm. (uncentered),360,10000,1000,0.036
0.7,1.0,80,800,ppi_perm,PPI Perm.,469,10000,1000,0.0469
0.7,1.0,80,800,ppi_perm_uncentered,PPI Perm. (uncentered),328,10000,1000,0.0328
0.7,1.0,100,800,ppi_perm,PPI Perm.,484,10000,1000,0.0484
0.7,1.0,100,800,ppi_perm_uncentered,PPI Perm. (uncentered),335,10000,1000,0.0335
0.7,1.0,120,800,ppi_perm,PPI Perm.,474,10000,1000,0.0474
0.7,1.0,120,800,ppi_perm_uncentered,PPI Perm. (uncentered),340,10000,1000,0.034
0.7,1.0,140,800,ppi_perm,PPI Perm.,511,10000,1000,0.0511
0.7,1.0,140,800,ppi_perm_uncentered,PPI Perm. (uncentered),347,10000,1000,0.0347
0.7,1.0,160,800,ppi_perm,PPI Perm.,519,10000,1000,0.0519
0.7,1.0,160,800,ppi_perm_uncentered,PPI Perm. (uncentered),346,10000,1000,0.0346
0.7,1.0,180,800,ppi_perm,PPI Perm.,500,10000,1000,0.05
0.7,1.0,180,800,ppi_perm_uncentered,PPI Perm. (uncentered),344,10000,1000,0.0344
0.7,1.0,200,800,ppi_perm,PPI Perm.,525,10000,1000,0.0525
0.7,1.0,200,800,ppi_perm_uncentered,PPI Perm. (uncentered),362,10000,1000,0.0362
0.7,5.0,20,800,ppi_perm,PPI Perm.,478,10000,1000,0.0478
0.7,5.0,20,800,ppi_perm_uncentered,PPI Perm. (uncentered),225,10000,1000,0.0225
0.7,5.0,40,800,ppi_perm,PPI Perm.,529,10000,1000,0.0529
0.7,5.0,40,800,ppi_perm_uncentered,PPI Perm. (uncentered),222,10000,1000,0.0222
0.7,5.0,60,800,ppi_perm,PPI Perm.,477,10000,1000,0.0477
0.7,5.0,60,800,ppi_perm_uncentered,PPI Perm. (uncentered),195,10000,1000,0.0195
0.7,5.0,80,800,ppi_perm,PPI Perm.,503,10000,1000,0.0503
0.7,5.0,80,800,ppi_perm_uncentered,PPI Perm. (uncentered),200,10000,1000,0.02
0.7,5.0,100,800,ppi_perm,PPI Perm.,473,10000,1000,0.0473
0.7,5.0,100,800,ppi_perm_uncentered,PPI Perm. (uncentered),178,10000,1000,0.0178
0.7,5.0,120,800,ppi_perm,PPI Perm.,459,10000,1000,0.0459
0.7,5.0,120,800,ppi_perm_uncentered,PPI Perm. (uncentered),164,10000,1000,0.0164
0.7,5.0,140,800,ppi_perm,PPI Perm.,478,10000,1000,0.0478
0.7,5.0,140,800,ppi_perm_uncentered,PPI Perm. (uncentered),180,10000,1000,0.018
0.7,5.0,160,800,ppi_perm,PPI Perm.,515,10000,1000,0.0515
0.7,5.0,160,800,ppi_perm_uncentered,PPI Perm. (uncentered),186,10000,1000,0.0186
0.7,5.0,180,800,ppi_perm,PPI Perm.,502,10000,1000,0.0502
0.7,5.0,180,800,ppi_perm_uncentered,PPI Perm. (uncentered),174,10000,1000,0.0174
0.7,5.0,200,800,ppi_perm,PPI Perm.,491,10000,1000,0.0491
0.7,5.0,200,800,ppi_perm_uncentered,PPI Perm. (uncentered),212,10000,1000,0.0212
