dataset,test_set,language_pair,metric,total_saved_annotations,mean_saved_annotations,num_valid_saving_pairs,num_retained_pair_metric_rows,num_original_pair_metric_rows,num_excluded_human_unreachable_pairs,ppsr,ppsr_num_pairs,num_retained_pairs,saving_rank,ppsr_rank
wmt22 zh-en,wmt22,zh-en,MEE4-refA:seg,284.0,3.736842105263158,76,76,91,15,0.02014366524249958,76,76,19.0,21.0
wmt22 zh-en,wmt22,zh-en,MS-COMET-22-refA:seg,355.0,4.671052631578948,76,76,91,15,0.025441564483673965,76,76,18.0,19.0
wmt22 zh-en,wmt22,zh-en,MS-COMET-QE-22-src:seg,274.0,3.6052631578947367,76,76,91,15,0.023585442163130913,76,76,21.0,20.0
wmt22 zh-en,wmt22,zh-en,REUSE-src:seg,-93.0,-1.2236842105263157,76,76,91,15,0.001196603744722793,76,76,31.0,31.0
wmt22 zh-en,wmt22,zh-en,SEScore-refA:seg,486.0,6.394736842105263,76,76,91,15,0.04982338734737442,76,76,13.0,13.0
wmt22 zh-en,wmt22,zh-en,UniTE-ref-refA:seg,959.0,12.618421052631579,76,76,91,15,0.06900610345435614,76,76,6.0,7.0
wmt22 zh-en,wmt22,zh-en,UniTE-refA:seg,1027.0,13.513157894736842,76,76,91,15,0.07269674715969743,76,76,4.0,5.0
wmt22 zh-en,wmt22,zh-en,UniTE-src-src:seg,711.0,9.355263157894736,76,76,91,15,0.05692907648953114,76,76,8.0,11.0
wmt22 zh-en,wmt22,zh-en,YiSi-1-refA:seg,403.0,5.302631578947368,76,76,91,15,0.03218108596831646,76,76,17.0,18.0
wmt22 zh-en,wmt22,zh-en,chrF-refA:seg,156.0,2.0526315789473686,76,76,91,15,0.010296751585647712,76,76,23.0,24.0
wmt22 zh-en,wmt22,zh-en,f101spBLEU-refA:seg,117.0,1.5394736842105263,76,76,91,15,0.0073138344823139665,76,76,24.0,28.0
wmt22 zh-en,wmt22,zh-en,f200spBLEU-refA:seg,102.0,1.3421052631578947,76,76,91,15,0.007367878354603166,76,76,26.0,27.0
wmt22 zh-en,wmt22,zh-en,metricx_xl_DA_2019-refA:seg,1024.0,13.473684210526315,76,76,91,15,0.07340200004480964,76,76,5.0,4.0
