dataset,test_set,language_pair,pair_index,system_a,system_b,metric,annotations_saved,corr_sq,human_threshold_status
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,BLEU-refA:seg,0.0,0.010703950590839001,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,BLEURT-20-refA:seg,8.0,0.057190121472790185,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,COMET-20-refA:seg,6.0,0.03539308770583864,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,COMET-22-refA:seg,3.0,0.023160028243850942,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,COMET-QE-src:seg,-1.0,0.000832646909003723,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,COMETKiwi-src:seg,-1.0,0.0055174898382296025,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,Cross-QE-src:seg,1.0,0.012133571338008787,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,HWTSC-TLM-src:seg,0.0,0.0028585989694923167,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,HWTSC-Teacher-Sim-src:seg,0.0,0.00020564281798582805,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,KG-BERTScore-src:seg,0.0,0.0001441567468597636,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MATESE-QE-src:seg,-5.0,0.005258273016431642,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MATESE-refA:seg,0.0,0.01008412965328041,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MEE-refA:seg,1.0,0.024363098003066144,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MEE2-refA:seg,0.0,0.029010600281765758,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MEE4-refA:seg,0.0,0.035826108121361305,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MS-COMET-22-refA:seg,-1.0,0.0073825084084329995,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,MS-COMET-QE-22-src:seg,1.0,0.002481125196571301,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,REUSE-src:seg,1.0,2.891449689617208e-05,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,SEScore-refA:seg,3.0,0.014790078048388847,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,UniTE-ref-refA:seg,6.0,0.03291365718488418,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,UniTE-refA:seg,6.0,0.03907299991779288,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,UniTE-src-src:seg,0.0,0.007604953796677128,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,YiSi-1-refA:seg,4.0,0.04253313210427831,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,chrF-refA:seg,3.0,0.030838172848172425,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,f101spBLEU-refA:seg,0.0,0.017025374764387435,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,f200spBLEU-refA:seg,1.0,0.020802558979945027,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,metricx_xl_DA_2019-refA:seg,12.0,0.07792968621981007,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,metricx_xl_MQM_2020-refA:seg,9.0,0.07223966388220035,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,metricx_xxl_DA_2019-refA:seg,13.0,0.08052283067456846,brentq
wmt22 en-de,wmt22,en-de,3,Online-W,comet_bestmbr,metricx_xxl_MQM_2020-refA:seg,5.0,0.07233868831928368,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,BERTScore-refA:seg,19.0,0.026774869255573614,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,BLEU-refA:seg,8.0,0.011199004238601458,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,BLEURT-20-refA:seg,33.0,0.13119719639795627,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,COMET-20-refA:seg,17.0,0.06242090498259322,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,COMET-22-refA:seg,15.0,0.13823888486158703,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,COMET-QE-src:seg,3.0,0.04580673244391259,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,COMETKiwi-src:seg,1.0,0.0721657563962688,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,Cross-QE-src:seg,5.0,0.07526234967050914,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,HWTSC-TLM-src:seg,4.0,0.020248054305425617,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,HWTSC-Teacher-Sim-src:seg,6.0,0.019348373649254503,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,KG-BERTScore-src:seg,0.0,0.010695422633113351,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MATESE-QE-src:seg,7.0,0.022145697239466973,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MATESE-refA:seg,13.0,0.058793796950262475,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MEE-refA:seg,10.0,0.019982326271880547,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MEE2-refA:seg,10.0,0.02691258892818578,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MEE4-refA:seg,7.0,0.03647256472970862,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MS-COMET-22-refA:seg,1.0,0.025667444698201394,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,MS-COMET-QE-22-src:seg,5.0,0.02546365651983303,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,REUSE-src:seg,6.0,0.014216067727902874,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,SEScore-refA:seg,13.0,0.06970801230888729,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,UniTE-ref-refA:seg,28.0,0.1211629520039402,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,UniTE-refA:seg,28.0,0.11511336621997106,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,UniTE-src-src:seg,6.0,0.061427052773010804,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,YiSi-1-refA:seg,11.0,0.04187796248265537,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,chrF-refA:seg,7.0,0.025962136956427483,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,f101spBLEU-refA:seg,7.0,0.020045779974039207,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,f200spBLEU-refA:seg,10.0,0.023028175271618344,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,metricx_xl_DA_2019-refA:seg,44.0,0.16455404754274053,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,metricx_xl_MQM_2020-refA:seg,33.0,0.18082385641124776,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,metricx_xxl_DA_2019-refA:seg,36.0,0.1564186458535994,brentq
wmt22 en-de,wmt22,en-de,2,Online-W,JDExploreAcademy,metricx_xxl_MQM_2020-refA:seg,28.0,0.14973339973349709,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,BERTScore-refA:seg,0.0,0.02782445312534099,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,BLEU-refA:seg,0.0,0.011567758470809302,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,BLEURT-20-refA:seg,5.0,0.10331521327809566,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,COMET-20-refA:seg,0.0,0.0657832616045987,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,COMET-22-refA:seg,4.0,0.13714837998371143,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,COMET-QE-src:seg,0.0,0.011511250797394654,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,COMETKiwi-src:seg,3.0,0.04758519773844011,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,Cross-QE-src:seg,-4.0,0.017549180671768683,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,HWTSC-TLM-src:seg,0.0,0.000377116509802534,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,HWTSC-Teacher-Sim-src:seg,3.0,0.0017556911708452832,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,KG-BERTScore-src:seg,2.0,0.0015866791042346393,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MATESE-QE-src:seg,1.0,0.012556230591044042,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MATESE-refA:seg,1.0,0.042370457237127394,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MEE-refA:seg,0.0,0.014109309241190785,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MEE2-refA:seg,2.0,0.02554175853561053,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MEE4-refA:seg,3.0,0.03646925464927026,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MS-COMET-22-refA:seg,0.0,0.022374442140876166,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,MS-COMET-QE-22-src:seg,0.0,0.005247407861301958,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,REUSE-src:seg,1.0,0.0019565057441040777,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,SEScore-refA:seg,5.0,0.0069714787891100955,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,UniTE-ref-refA:seg,5.0,0.09752125407390139,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,UniTE-refA:seg,6.0,0.09825513734323624,brentq
wmt22 en-de,wmt22,en-de,8,Online-W,QUARTZ_TuneReranking,UniTE-src-src:seg,0.0,0.02127000185458365,brentq
